k,Precision,Recall,F1,Hit@k,vollst. Beleg,Zitat-Recall,Kontext-Tokens
2,0.5,0.6944444444444445,0.5499999999999999,0.8333333333333334,0.6666666666666666,0.736111111111111,682.3333333333334
3,0.3333333333333333,0.6944444444444445,0.42777777777777776,0.8333333333333334,0.6666666666666666,0.736111111111111,959.5
4,0.3333333333333333,0.9444444444444445,0.47301587301587306,1.0,0.8333333333333334,0.9583333333333334,1257.0
6,0.2222222222222222,0.9444444444444445,0.34788359788359785,1.0,0.8333333333333334,0.9583333333333334,1749.6666666666667
8,0.16666666666666666,0.9444444444444445,0.2754208754208754,1.0,0.8333333333333334,0.9583333333333334,2211.6666666666665
