variante,titel,datei,artikelnummer,impressum,seiten,sha256,url,abrufdatum,in_diesem_lauf_heruntergeladen,lizenz
grundspiel,CATAN – Das Spiel. Spielregel,4002051684655_CAT_NE_Basis34_Manual_DE_web.pdf,684655,"(c) 1995, 2025 KOSMOS",12,a5c1ea3e00ae96aea4a1ed6ade96cdf862a4bc681446a4e8d716f8d27d9f418b,https://www.catan.de/sites/default/files/2025-03/4002051684655_CAT_NE_Basis34_Manual_DE_web.pdf,TODO: JJJJ-MM-TT,2026-09-26,"urheberrechtlich geschuetzt, keine Weitergabe im Repository"
staedte_ritter,CATAN – Städte & Ritter. Spielregel,400205684754_CAT_NE_SuR_Manual_DE_web.pdf,684754,"(c) 1998, 2025 KOSMOS",16,d069c5ec8fc8a0f47ba1d0cca695bcf5680206b29da87f34da9bb150546ae1c7,https://www.catan.de/sites/default/files/2025-03/400205684754_CAT_NE_SuR_Manual_DE_web.pdf,TODO: JJJJ-MM-TT,2026-09-26,"urheberrechtlich geschuetzt, keine Weitergabe im Repository"
